Name,Pass,Ikon,Epic,otherMultiResortPass,Famous,state,summit,drop,base,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total,Runs,Terrain Parks,Longest Run,Skiable Terrain,Snow Making,daysOpenLastYear,projectedDaysOpen,"Avg(daysOpenLastYear, projectedDaysOpen)",NightSkiing,Night Skiing,mi Pistes,MI Night Skiing,mi Snow Making,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend
Cranmore Mountain Resort,0,0,0,0,0,New Hampshire,2000,1200,600,0,0,0,1,1,2,1,2,7,57,4,1,200,192,107,128,117.5,0,,,,,82,150,83,83
Crotched Mountain,1,0,0,1,0,New Hampshire,2066,1016,1050,0,0,0,1,1,1,1,1,5,25,3,1.2,100,100,105,100,102.5,1,100,,,,16,105,55,69
Dartmouth Skiway,1,0,0,1,0,New Hampshire,1943,969,974,0,0,0,0,1,0,1,2,4,28,1,1.1,107,54,104,105,104.5,0,,,,,63,100,50,50
Gunstock,0,0,0,0,0,New Hampshire,2300,1400,900,0,0,0,1,2,2,0,1,6,55,4,1.5,227,176,106,,106,1,60,,,,82,120,80,92
King Pine,0,0,0,0,0,New Hampshire,850,350,500,0,0,0,0,0,3,0,3,6,17,2,0.3,48,45,105,107,106,1,23,,,,57,120,42,58
Loon Mountain,1,1,0,0,0,New Hampshire,3050,2100,950,1,0,0,3,1,1,3,2,11,61,6,2.5,370,322,149,144,146.5,0,,,,,53,160,98,98
Mount Sunapee,1,0,1,0,0,New Hampshire,2743,1510,1233,0,0,0,2,1,2,1,4,10,66,4,0.8,232,215,130,136,133,0,,,,,71,100,83,93
Pats Peak,0,0,0,0,0,New Hampshire,1460,770,690,0,0,0,0,0,4,2,5,11,28,3,1.5,115,115,109,112,110.5,1,93,,,,56,100,58,72
Ragged Mountain Resort,0,0,0,0,0,New Hampshire,2250,1250,1000,0,0,1,1,0,1,0,3,6,57,3,0.7,250,200,,140,140,0,,,,,54,100,74,84
Waterville Valley,0,0,0,0,0,New Hampshire,4004,2020,1984,0,0,0,2,0,2,3,4,11,62,4,1.9,265,220,142,142,142,0,,,,,54,148,79,93
Whaleback Mountain,1,0,0,1,0,New Hampshire,1800,700,1100,0,0,0,0,0,0,1,3,4,30,1,1,85,60,105,105,105,1,55,,,,64,110,30,45
Wildcat Mountain,1,0,0,1,1,New Hampshire,4062,2112,1950,0,0,0,1,0,3,0,1,5,48,0,2.8,225,200,156,150,153,0,,,,,61,200,79,89
Campgaw Mountain,0,0,0,0,0,New Jersey,726,274,450,0,0,0,0,0,0,2,3,5,12,1,0.3,23,23,80,,80,1,14,,,,58,45,26,39
Mountain Creek Resort,0,0,0,0,0,New Jersey,1480,1040,440,1,0,0,2,2,1,1,3,10,46,3,2,167,167,90,100,95,1,167,,,,54,65,79.99,79.99
Angel Fire Resort,1,0,0,1,0,New Mexico,10677,2077,8600,0,0,0,2,0,0,3,2,7,81,3,3,560,230,101,101,101,1,50,,,,53,210,77,77
Enchanted Forest Ski Area,0,0,0,0,0,New Mexico,10078,400,9820,0,0,0,0,0,0,0,0,0,33,0,2.5,600,0,130,140,135,0,,,,,34,240,20,20
Pajarito Mountain Ski Area,1,0,0,1,0,New Mexico,10441,1410,9031,0,0,0,0,1,1,3,1,6,45,2,0.6,750,35,89,117,103,0,,,,,62,163,49,49
Red River,0,0,0,0,0,New Mexico,10350,1600,8750,0,0,0,0,1,3,1,2,7,63,3,2.5,209,0,110,,110,0,,,,,60,214,79,79
Sandia Peak,0,0,0,0,0,New Mexico,10378,1700,8678,0,0,0,0,0,0,4,1,5,39,1,2,200,30,32,38,35,0,,,,,82,100,55,55
Sipapu Ski Resort,1,0,0,1,0,New Mexico,9255,1055,8200,0,0,0,0,1,2,0,3,6,42,4,0.5,200,140,127,143,135,0,,,,,67,190,47,47
Ski Apache,0,0,0,0,0,New Mexico,11500,1900,9600,1,0,0,0,2,6,0,2,11,55,3,2,750,270,133,124,128.5,0,,,,,58,185,74,74
Ski Santa Fe,0,0,0,0,0,New Mexico,12075,1725,10350,0,0,0,0,1,2,2,2,7,83,1,3,660,275,107,130,118.5,0,,,,,73,225,80,80
Taos Ski Valley,1,1,0,1,1,New Mexico,12481,3281,9200,1,0,0,1,3,4,1,4,14,111,1,5,1294,647,137,136,136.5,0,,,,13,64,300,110,110
Belleayre,0,0,0,0,0,New York,3429,1404,2025,1,0,0,1,1,1,2,2,8,50,2,2.2,175,168,154,150,152,0,,,,,70,130,60,72
Brantling Ski Slopes,0,0,0,0,0,New York,850,250,600,0,0,0,0,0,0,0,5,5,10,0,0.1,20,16,,101,101,0,,,,,19,110,32,32
Bristol Mountain,0,0,0,0,0,New York,2200,1200,1000,0,0,0,2,1,1,1,1,6,34,3,2,160,148,129,129,129,1,154,,,,55,60,65,76
Buffalo Ski Club Ski Area,0,0,0,0,0,New York,3429,500,2025,0,0,0,0,0,0,2,4,6,43,1,,225,150,,79,79,1,100,,,,12,,35,50
Catamount,0,0,0,0,0,New York,2000,1000,1000,0,0,0,0,1,1,2,3,7,36,5,2,133,130,100,90,95,1,55,,4.3,8.7,80,108,38,69
Dry Hill Ski Area,0,0,0,0,0,New York,950,300,650,0,0,0,0,0,0,1,2,3,7,1,0.2,35,26,,108,108,1,26,,,,55,125,20,35
Gore Mountain,0,0,0,0,0,New York,3600,2537,998,1,0,0,2,2,3,2,4,14,110,7,4.5,439,338,142,,142,1,15,41.3,0.2,29.8,55,150,80,88
Greek Peak,0,0,0,0,0,New York,2100,952,1148,0,0,0,0,1,1,4,2,8,56,4,1.5,220,184,110,113,111.5,1,175,,,,62,122,49,63.2
Holiday Mountain,0,0,0,0,0,New York,1550,400,1150,0,0,0,0,1,0,1,2,4,9,0,0.4,37,37,75,85,80,1,37,,,,60,50,27,42
Holiday Valley,0,0,0,0,0,New York,2250,750,1500,0,0,0,3,8,0,0,2,13,60,5,1,290,266,116,129,122.5,1,189,,,,62,180,65,78
Holimont Ski Area,0,0,0,0,0,New York,2260,700,1560,0,0,0,1,1,2,3,1,8,53,3,1.5,135,135,110,119,114.5,0,,,,,57,180,62,75
Hunt Hollow Ski Club,0,0,0,0,0,New York,2030,825,1000,0,0,0,0,0,1,1,1,3,19,1,1,400,400,,75,75,1,400,,,,52,130,48,58
Hunter Mountain,1,0,0,1,0,New York,3200,1600,1600,0,0,2,1,2,2,2,4,13,67,4,2,320,320,148,155,151.5,0,,,,,59,120,79,89
Kissing Bridge,0,0,0,0,0,New York,1700,550,1150,0,0,0,0,2,1,4,3,10,39,5,0.5,700,550,103,100,101.5,1,650,,,,59,120,40,60
Labrador Mt.,0,0,0,0,0,New York,1825,700,1125,0,0,0,0,0,1,2,1,4,23,1,1,250,237,,100,100,1,180,,,,62,125,59,59
Maple Ski Ridge,0,0,0,0,0,New York,1200,450,750,0,0,0,0,0,1,1,1,3,10,0,0.3,25,25,,69,69,1,20,,,,57,,26,38
McCauley Mountain Ski Center,0,0,0,0,0,New York,2250,633,1563,0,0,0,0,0,0,1,4,5,23,1,0.3,70,55,105,105,105,0,,,,,61,200,20,30
Mount Peter Ski Area,0,0,0,0,0,New York,1250,450,750,0,0,0,0,1,0,2,2,5,14,1,1,69,69,100,100,100,1,69,,,,83,50,35,54
Oak Mountain,0,0,0,0,0,New York,2400,650,1750,0,0,0,0,1,0,0,3,4,22,1,1.2,46,18,,106,106,1,12,,,,71,120,40,40
Peek'n Peak,0,0,0,0,0,New York,1800,400,1400,0,0,0,0,0,8,0,2,10,27,4,2.4,110,110,110,,110,1,110,,,,55,225,49,63
Plattekill Mountain,1,0,0,1,0,New York,3500,1100,2400,0,0,0,0,0,1,1,2,4,38,1,2,110,75,65,65,65,0,,1.2,,,26,175,50,67
Royal Mountain Ski Area,0,0,0,0,0,New York,1800,550,1250,0,0,0,0,0,0,3,0,3,14,0,0.3,35,28,,127,127,0,,,,,63,90,45,45
Snow Ridge,0,0,0,0,0,New York,2000,650,1350,0,0,0,0,0,0,4,2,6,21,2,0.8,130,65,73,100,86.5,1,40,,,,74,230,38,48
Song Mountain,0,0,0,0,0,New York,1940,700,1240,0,0,0,0,0,1,1,3,5,24,0,0.4,93,70,90,122,106,1,70,,,,55,125,59,59
Swain,0,0,0,0,0,New York,1970,650,1320,0,0,0,0,3,0,1,1,5,35,3,1,130,90,102,100,101,1,80,,,,72,120,49,59
Thunder Ridge,0,0,0,0,0,New York,1270,500,770,0,0,0,0,0,1,2,3,6,30,0,0.4,100,100,121,121,121,1,100,,,,60,,30,57
Titus Mountain,0,0,0,0,0,New York,2025,1200,825,0,0,0,0,0,2,6,2,10,50,3,2,200,150,101,100,100.5,1,70,,8.1,11.2,59,150,39,49
Toggenburg Mountain,0,0,0,0,0,New York,2000,700,1300,0,0,0,0,0,1,1,3,5,22,2,0.4,85,0,,122,122,1,73,,,,66,130,55,55
West Mountain,0,0,0,0,0,New York,1470,1010,460,0,0,0,0,0,1,2,2,5,29,1,0.6,124,105,,120,120,1,105,,,,58,80,49,59
Whiteface Mountain Resort,0,0,0,0,0,New York,4650,3430,1220,1,0,0,1,1,2,5,2,12,86,5,2.1,288,220,122,141,131.5,0,,,,,61,168,96,96
Willard Mountain,0,0,0,0,0,New York,1415,505,910,0,0,0,0,0,0,2,3,5,16,0,0.4,50,35,85,120,102.5,1,35,,,,19,80,46,46
Windham Mountain,0,0,0,0,0,New York,3100,1600,1500,0,0,1,2,0,3,1,5,12,54,6,2,285,280,123,130,126.5,1,56,12,,,59,105,85,95
Woods Valley Ski Area,0,0,0,0,0,New York,1400,500,900,0,0,0,0,0,0,2,4,6,21,0,0.3,25,16,,128,128,1,15,,,,55,180,31,39
Appalachian Ski Mountain,0,0,0,0,0,North Carolina,4000,365,3635,0,0,0,0,2,0,1,2,5,12,3,0.5,27,27,100,100,100,1,27,,,,57,50,40,64
Cataloochee Ski Area,0,0,0,0,0,North Carolina,5400,740,4660,0,0,0,0,1,1,1,2,5,18,2,1,50,50,141,108,124.5,1,50,,9.9,0.6,58,50,43,70
Sapphire Valley,0,0,0,0,0,North Carolina,3450,200,3200,0,0,0,0,1,0,0,2,3,2,1,1,8,8,53,60,56.5,1,8,0.4,,,55,24,40,43
Beech Mountain Resort,0,0,0,0,0,North Carolina,5506,830,4675,0,0,0,0,3,0,3,2,8,17,1,1,95,95,98,,98,1,95,,,,52,31,41,68
Sugar Mountain Resort,0,0,0,0,0,North Carolina,5300,1200,4100,0,0,1,0,0,1,4,2,8,21,1,1.5,125,125,114,120,117,1,95,,,,50,77,45,75
Wolf Ridge Ski Resort,0,0,0,0,0,North Carolina,4700,720,4000,0,0,0,0,1,0,1,2,4,15,1,0.6,65,65,,100,100,1,60,,,,49,65,42,65
Alpine Valley,1,0,0,1,0,Ohio,1500,230,1260,0,0,0,0,1,2,1,1,5,11,1,0.2,72,72,105,,105,1,72,,,,53,120,43,43
Boston Mills,1,0,0,1,0,Ohio,871,264,631,0,0,0,0,0,4,2,2,8,7,2,0.3,40,40,92,110,101,1,40,,,,56,51,44,44
Brandywine,1,0,0,1,0,Ohio,871,240,631,0,0,0,0,2,7,2,5,16,11,2,0.3,85,85,92,110,101,1,85,,,,56,51,44,44
Mad River Mountain,1,0,0,1,0,Ohio,1460,300,1160,0,0,0,0,1,2,3,6,12,20,4,0.5,144,144,99,90,94.5,1,144,,,,57,36,39,44
Snow Trails,0,0,0,0,0,Ohio,1475,301,1174,0,0,0,0,0,4,2,3,9,17,3,0.2,80,80,101,70,85.5,1,80,,,,58,50,41,52
Anthony Lakes Mountain Resort,0,0,0,0,0,Oregon,8000,900,7100,0,0,0,0,0,1,0,2,3,21,2,1.5,1100,0,75,80,77.5,0,,,,,56,300,40,40
Cooper Spur,0,0,0,0,0,Oregon,4000,350,3500,0,0,0,0,0,0,1,1,2,10,0,0.1,50,0,78,90,84,0,,,,,66,100,39,39
Hoodoo Ski Area,0,0,0,0,0,Oregon,5703,1035,4668,0,0,0,0,3,1,1,0,5,34,0,0.4,806,0,80,108,94,1,200,,,,81,350,59,59
Mt. Ashland,0,0,0,0,0,Oregon,7533,1150,6383,0,0,0,0,0,2,2,1,5,23,2,1,220,0,94,92,93,1,40,,,,55,300,45,52
Mt. Bachelor,0,0,0,0,0,Oregon,9065,3365,5700,0,0,0,8,0,3,0,0,11,101,5,4,4318,20,185,185,185,0,,,,2.5,61,462,99,99
Mt. Hood Meadows,0,0,0,0,0,Oregon,7300,2777,4523,0,0,0,6,0,0,5,2,13,85,6,3,2150,0,118,160,139,1,170,,,,51,430,49,69
Mt. Hood Skibowl,1,0,0,1,0,Oregon,5100,1500,3600,0,0,0,0,0,0,4,5,9,65,2,3,960,29,125,144,134.5,1,317,,,,82,300,70,70
Spout Springs,0,0,0,0,0,Oregon,5500,610,4850,0,0,0,0,0,0,2,2,4,14,0,0.1,200,0,117,125,121,1,100,,,,19,118,,
Timberline Lodge,1,0,0,1,0,Oregon,8540,3690,6000,0,0,0,5,0,1,1,1,8,41,5,2,1415,0,305,305,305,1,300,,,,82,550,73,73
Willamette Pass,0,0,0,0,0,Oregon,6683,1563,5120,0,0,1,0,0,3,0,1,5,29,0,2.1,555,60,3,100,51.5,0,,,,,78,430,60,60
Bear Creek Mountain Resort,0,0,0,0,0,Pennsylvania,1100,510,600,0,0,0,0,3,1,0,2,6,23,3,1,86,86,91,90,90.5,1,86,,,,52,30,50,60
Ski Big Bear,0,0,0,0,0,Pennsylvania,1250,650,600,0,0,0,0,0,0,4,2,6,18,1,1.5,26,26,75,75,75,1,26,,,,43,69,50,62
Big Boulder,1,0,0,1,0,Pennsylvania,2175,600,1700,0,0,0,0,0,2,5,1,8,16,8,,55,55,76,95,85.5,1,55,,,,72,50,50,65
Blue Knob,0,0,0,0,0,Pennsylvania,3146,1072,2074,0,0,0,0,0,2,2,2,6,34,1,2,100,84,87,105,96,1,42,,,,56,120,43,68
Blue Mountain Resort,0,0,0,0,0,Pennsylvania,1600,1082,460,0,0,1,1,1,1,3,9,16,39,5,1.2,164,164,122,112,117,1,164,,,,42,33,55,65
Camelback Mountain Resort,0,0,0,0,0,Pennsylvania,2100,800,1250,0,0,0,2,0,3,5,6,16,37,5,1,166,166,100,100,100,1,160,,,,56,50,55,70
Eagle Rock,0,0,0,0,0,Pennsylvania,1810,550,1260,0,0,0,0,0,0,3,0,3,14,1,1,,0,,40,40,0,,,,,47,,,
Elk Mountain Ski Resort,0,0,0,0,0,Pennsylvania,2693,1000,1693,0,0,0,0,1,0,5,1,7,27,2,0.7,180,146,,100,100,1,90,,,,60,60,55,69
Jack Frost,1,0,0,1,0,Pennsylvania,2000,600,1400,0,0,0,0,1,2,5,1,9,20,1,1,100,100,96,105,100.5,0,,,,,47,50,50,65
Liberty,1,0,0,1,0,Pennsylvania,1190,620,570,0,0,0,0,5,0,0,3,8,16,3,1,100,100,107,97,102,1,100,,,,54,31,67,77
Mount Pleasant of Edinboro,0,0,0,0,0,Pennsylvania,1540,340,1200,0,0,0,0,0,1,0,1,2,10,0,0.5,40,35,75,90,82.5,1,35,,,,48,100,30,33
Roundtop Mountain Resort,1,0,0,1,0,Pennsylvania,1400,600,800,0,0,0,0,3,2,0,3,8,20,2,0.4,103,103,,99,99,1,100,,,,55,30,63,73
Seven Springs,0,0,0,0,0,Pennsylvania,2994,750,2240,0,0,2,0,3,5,0,4,14,33,7,1.2,285,285,99,115,107,1,200,,,,87,135,67,87
Shawnee Mountain Ski Area,0,0,0,0,0,Pennsylvania,1350,700,650,0,0,0,1,1,0,4,4,10,23,2,1.6,125,125,100,122,111,1,120,,,,44,50,55,65
Ski Sawmill,0,0,0,0,0,Pennsylvania,2215,515,1700,0,0,0,0,0,1,1,3,5,14,1,0.1,15,13,,90,90,1,15,,,,50,24,30,44
Montage Mountain,0,0,0,0,0,Pennsylvania,1960,1000,960,0,0,0,0,1,3,1,2,7,26,1,1.2,140,140,60,90,75,1,140,,,,35,47,30,67
Spring Mountain Ski Area,0,0,0,0,0,Pennsylvania,528,450,78,0,0,0,0,0,1,3,2,6,9,1,0.2,45,45,100,100,100,1,45,,,,56,20,38,48
Tussey Mountain,0,0,0,0,0,Pennsylvania,1750,520,1230,0,0,0,0,1,0,1,3,5,8,1,0.3,38,30,100,100,100,1,30,,,,39,41,40,45
Whitetail Resort,1,0,0,1,0,Pennsylvania,1800,935,865,0,0,0,1,3,0,2,2,8,23,2,1,120,120,116,100,108,1,120,,,,28,40,69,71
Yawgoo Valley,1,0,0,1,0,Rhode Island,315,245,70,0,0,0,0,0,0,2,2,4,13,1,0.2,30,30,100,100,100,1,30,,,,54,40,,
Deer Mountain Ski Resort,0,0,0,0,1,South Dakota,6850,940,6040,0,0,0,0,0,1,1,2,4,63,2,1.6,500,50,69,81,75,0,,,,,51,200,45,45
Terry Peak Ski Area,0,0,0,0,0,South Dakota,7100,1100,5900,0,0,0,3,0,1,0,1,5,30,1,1.2,450,225,114,120,117,0,,,,,65,150,58,58
Ober Gatlinburg Ski Resort,0,0,0,0,0,Tennessee,3300,600,2700,0,0,0,0,2,0,1,1,4,10,1,1,,0,83,94,88.5,0,,,,,44,35,36,65
Alta Ski Area,1,1,0,1,1,Utah,11068,2538,8530,0,0,0,3,0,1,2,0,6,116,0,1.3,2614,140,150,140,145,0,,,,,81,545,116,116
Beaver Mountain,0,0,0,0,0,Utah,8600,1600,7232,0,0,0,0,0,1,3,1,5,48,2,0.8,464,0,120,120,120,0,,,,,81,400,50,50
Brian Head Resort,0,0,0,0,0,Utah,10970,1548,9600,0,0,0,1,0,6,1,0,8,71,2,0.6,650,216,149,148,148.5,0,,,,,54,360,42,59
Brighton Resort,1,1,0,0,1,Utah,10500,1745,8755,0,0,0,3,1,1,0,2,7,66,4,1.2,1050,200,138,138,138,1,200,,,,83,500,85,85
Deer Valley Resort,1,1,0,0,0,Utah,9570,3000,6570,1,0,0,13,0,5,2,0,21,103,0,2.8,2026,660,,120,120,0,,,,,39,300,169,169
Eagle Point,0,0,0,0,0,Utah,10600,1500,9100,0,0,0,0,1,1,2,1,5,40,1,0.9,650,0,,109,109,0,,,,,9,400,45,60
Park City,1,0,1,0,1,Utah,10000,3200,6800,4,0,6,10,4,7,4,6,41,341,8,3.5,7300,750,142,143,142.5,0,,,,,56,355,169,169
Powder Mountain,0,0,0,0,1,Utah,9422,2522,6900,0,0,0,1,4,1,0,3,9,167,2,3.5,8464,0,120,146,133,1,300,,,,47,500,88,88
Snowbasin,1,0,0,1,0,Utah,9350,2900,6450,3,0,1,2,0,3,0,2,11,107,4,3.5,3000,625,143,138,140.5,0,,28.6,,24.9,79,300,115,115
Snowbird,1,1,0,1,1,Utah,11000,3240,7760,1,0,0,6,0,0,4,3,14,170,1,2.5,2500,0,188,180,184,1,2,,,,48,500,125,125
Solitude Mountain Resort,1,1,0,0,1,Utah,10488,2494,7994,0,0,0,4,2,1,1,1,9,80,0,3,1200,150,161,148,154.5,0,,,,,62,500,109,119
Sundance,0,0,0,0,0,Utah,8250,2150,6100,0,0,0,0,2,2,0,1,5,45,1,0.6,450,112,128,129,128.5,0,,,,,50,320,80,80
Nordic Valley Resort,1,0,0,1,0,Utah,6400,960,5440,0,0,0,0,0,0,2,2,4,23,1,0.4,140,84,105,105,105,1,140,,0.5,0.5,51,300,45,50
Bolton Valley,1,0,0,1,0,Vermont,3150,1704,1446,0,0,0,0,2,0,3,1,6,71,3,0.6,300,90,133,132,132.5,1,50,18.6,,,53,300,69,79
Bromley Mountain,0,0,0,0,0,Vermont,3284,1334,1950,0,0,0,1,1,0,4,3,9,47,1,2.5,178,153,,152,152,0,,,,,83,168,87,91
Burke Mountain,0,0,0,0,0,Vermont,3267,2011,1210,0,0,0,2,1,0,0,3,6,50,3,2.2,178,125,110,125,117.5,0,,,,,62,217,73,73
Jay Peak,0,0,0,0,1,Vermont,3968,2153,1815,1,0,0,1,3,1,1,2,9,79,2,3,385,300,155,160,157.5,0,,,,,64,349,89,89
Killington Resort,1,1,0,0,0,Vermont,4241,3050,1165,3,0,1,5,4,3,1,5,22,155,6,6,1515,600,192,,192,0,,,,,61,250,119,119
Mad River Glen,0,0,0,0,1,Vermont,3637,2037,1600,0,0,0,0,0,2,2,1,5,52,0,1,115,16,134,135,134.5,0,,,,,71,228,89,89
Magic Mountain,1,0,0,1,1,Vermont,2850,1500,1350,0,0,0,0,0,0,3,3,6,50,1,1.6,205,95,76,80,78,0,,,,9.3,59,150,74,74
Mount Snow,1,0,0,1,0,Vermont,3600,1700,1900,0,0,1,3,1,6,4,5,20,86,10,3,600,480,135,135,135,0,,,,,65,156,75,75
Okemo Mountain Resort,1,0,1,0,1,Vermont,3344,2200,1144,0,0,1,4,5,3,0,7,20,121,9,4,667,654,146,152,149,0,,,,,63,200,115,115
Pico Mountain ,1,1,0,0,0,Vermont,3967,1967,2000,0,0,0,2,0,2,2,1,7,59,1,4,260,156,,115,115,0,,,,,82,250,81,81
Smugglers' Notch Resort,0,0,0,0,0,Vermont,3640,2610,1030,0,0,0,0,0,0,6,2,8,78,6,3,1000,192,136,135,135.5,0,,,,,63,280,79,79
Stowe Mountain Resort,1,0,1,0,0,Vermont,4395,2360,2035,2,0,0,0,4,2,2,2,12,116,0,3.7,485,388,155,137,146,0,,,,,86,314,134,134
Stratton Mountain,1,1,0,0,0,Vermont,3875,2003,1872,1,0,4,1,2,1,1,1,11,99,4,3,670,474,155,160,157.5,0,,,,,58,180,125,125
Sugarbush,1,1,0,1,0,Vermont,4083,2600,1483,0,0,0,5,5,2,1,3,16,111,4,3,581,406,150,156,153,0,,,,,61,250,119,119
Suicide Six,0,0,0,0,0,Vermont,1200,650,550,0,0,0,0,0,0,2,1,3,24,0,0.4,100,50,100,106,103,0,,,,,85,90,45,75
Bryce Resort,0,0,0,0,0,Virginia,1750,500,1250,0,0,0,0,1,0,1,5,7,8,0,0.4,25,25,100,95,97.5,1,20,,,,54,30,43,68
Massanutten,0,0,0,0,0,Virginia,2925,1110,1750,0,0,0,0,3,1,0,3,7,13,2,0.8,70,70,68,97,82.5,1,70,,,,46,35,,
The Homestead Ski Area,0,0,0,0,0,Virginia,3200,700,2500,0,0,0,0,0,0,1,1,2,10,0,1,45,100,91,100,95.5,0,,,,,60,50,,
Wintergreen Resort,0,0,0,0,0,Virginia,3515,1003,2512,0,0,2,0,1,1,1,0,5,27,2,1,129,129,107,121,114,1,45,,,,44,34,59,89
49 Degrees North,0,0,0,0,0,Washington,5774,1851,3932,0,0,0,0,1,0,5,1,7,89,1,2,2325,0,101,135,118,1,250,,,,48,301,62,62
Alpental,0,0,0,0,0,Washington,5420,2280,3140,0,0,0,1,0,0,3,1,5,24,0,1.2,825,0,120,144,132,1,121,,,,52,428,,
Bluewood,0,0,0,0,0,Washington,5670,1125,4545,0,0,0,0,0,2,0,1,3,24,2,2,355,0,70,110,90,0,,,,,40,300,42,47
Crystal Mountain,1,1,0,0,1,Washington,7012,3100,4400,1,0,2,2,1,2,2,0,10,57,1,2.5,2600,10,,149,149,0,,,,,57,486,99,99
Mission Ridge,0,0,0,0,0,Washington,6820,2250,4570,0,0,0,1,0,0,3,2,6,53,3,0.8,2000,66,104,96,100,1,500,,,,53,200,74,74
Mt. Baker,0,0,0,0,0,Washington,5000,1500,3500,0,0,0,0,8,0,0,2,10,38,0,0.7,1000,0,143,165,154,0,,,,,66,663,53.75,60.01
Mt. Spokane Ski and Snowboard Park,0,0,0,0,0,Washington,5889,2000,4200,0,0,0,0,0,1,5,1,7,52,3,0.6,1704,0,100,103,101.5,1,45,,,,81,300,45,59
Stevens Pass Resort,1,0,1,1,0,Washington,5845,1800,4061,0,0,0,3,0,4,3,0,10,52,4,1,1125,0,116,145,130.5,1,450,,,,82,460,84,84
The Summit at Snoqualmie,1,1,0,0,0,Washington,3865,1025,2840,0,0,0,3,3,4,10,7,27,112,5,0.8,1994,5,120,140,130,1,541,,,,82,428,85,95
White Pass,0,0,0,0,0,Washington,6550,2050,4500,0,0,0,2,1,1,2,2,8,45,2,2.5,1402,30,148,144,146,1,90,,1.9,0.2,67,400,69,69
Canaan Valley Resort,0,0,0,0,0,West Virginia,4280,850,3430,0,0,0,0,1,2,0,1,4,47,1,1.2,95,75,,93,93,0,,,,,48,160,52,68
Snowshoe Mountain Resort,1,1,0,0,0,West Virginia,4848,1500,3348,0,0,0,3,2,6,0,3,14,60,5,1.5,257,257,125,138,131.5,1,86,,,,46,180,70,87
Timberline Four Seasons,0,0,0,0,0,West Virginia,4265,1000,3268,0,0,0,0,0,2,1,1,4,40,1,2,100,100,97,115,106,1,27,,,,37,150,72,92
Winterplace Ski Resort,0,0,0,0,0,West Virginia,3600,603,2997,0,0,0,0,2,3,2,2,9,27,2,1.2,90,90,120,120,120,1,74,,,,36,100,56,72
Alpine Valley Resort,0,0,0,0,0,Wisconsin,1040,388,820,0,0,0,3,0,3,1,5,12,21,3,0.2,90,90,100,120,110,1,90,,,,55,80,56,65
Bruce Mound,0,0,0,0,0,Wisconsin,1375,375,1000,0,0,0,0,0,1,0,4,5,12,2,0.5,40,30,42,42,42,1,30,0.9,,,71,42,33,25
Cascade Mountain,0,0,0,0,0,Wisconsin,1280,460,820,0,0,0,2,2,3,2,3,12,47,4,1.1,175,175,120,120,120,0,,,,,57,56,59,64
Christie Mountain,0,0,0,0,0,Wisconsin,1650,350,1300,0,0,0,0,0,0,1,5,6,30,4,0.8,45,41,92,120,106,1,35,,,,43,48,28,38
Christmas Mountain,0,0,0,0,0,Wisconsin,1250,250,1000,0,0,0,0,1,0,0,2,3,16,0,0.4,40,40,75,70,72.5,1,40,,,,50,20,,
Devils Head,0,0,0,0,0,Wisconsin,995,500,495,0,0,0,0,3,1,6,2,12,27,1,1,260,260,110,135,122.5,1,200,,,,48,45,45,65
Grand Geneva,0,0,0,0,0,Wisconsin,1086,211,875,0,0,0,0,0,0,3,3,6,20,1,0.2,30,30,90,93,91.5,1,30,,,,25,25,28,49
Granite Peak Ski Area,0,0,0,0,0,Wisconsin,1942,700,1242,0,0,1,2,0,2,0,2,7,75,4,0.6,220,160,136,135,135.5,1,200,,,,82,75,92,92
Little Switzerland,0,0,0,0,0,Wisconsin,1269,200,1069,0,0,0,0,0,0,4,4,8,18,3,1,50,50,,121,121,1,50,,,,,,33,41
Mount La Crosse,0,0,0,0,0,Wisconsin,1110,516,594,0,0,0,0,0,0,3,1,4,19,1,0.4,100,100,115,100,107.5,1,90,,,,60,40,56,56
Nordic Mountain,0,0,0,0,0,Wisconsin,1137,265,872,0,0,0,0,0,1,1,5,7,18,4,1,60,60,68,90,79,1,60,,,,43,80,47,47
Sunburst,0,0,0,0,0,Wisconsin,1100,214,866,0,0,0,0,0,0,3,6,9,13,4,0.5,37,37,99,115,107,1,37,,,,59,50,33,44
Trollhaugen,0,0,0,0,0,Wisconsin,1200,260,920,0,0,0,0,2,0,1,5,8,24,4,0.5,86,86,130,120,125,1,86,,,,69,50,54,54
Tyrol Basin,0,0,0,0,0,Wisconsin,1160,300,860,0,0,0,0,0,3,0,2,5,18,5,0.5,32,32,112,103,107.5,1,32,,,,61,41,17,48
Whitecap Mountain,0,0,0,0,0,Wisconsin,1750,400,1295,0,0,0,0,1,0,4,0,5,43,1,1,400,300,105,118,111.5,0,,,,,57,200,60,60
Wilmot Mountain,1,0,1,0,0,Wisconsin,1030,230,800,0,0,0,0,3,2,2,3,10,23,2,0.5,135,135,125,139,132,1,135,,,,81,70,56,66
Grand Targhee Resort,0,0,0,0,1,Wyoming,9920,2270,7851,0,0,0,2,2,0,0,1,5,95,1,2.7,2602,0,152,152,152,0,,,,,50,500,90,90
Hogadon Basin,0,0,0,0,0,Wyoming,8000,640,7400,0,0,0,0,0,0,1,1,2,28,1,0.6,92,32,121,95,108,0,,,,,61,80,48,48
